"site_id","sample_date","uniqueid"
"05-CAMB-11.2",2015-06-15,"05-CAMB-11.2_15"
"05-WINI_T2-1.2",2015-06-15,"05-WINI_T2-1.2_15"
"11-GORN-6.0",2015-06-18,"11-GORN-6.0_15"
"11-SRUN-3.8",2015-06-18,"11-SRUN-3.8_15"
"12-ALPL_T11-2.1",2015-06-18,"12-ALPL_T11-2.1_15"
"13-WBLKK-8.9",2015-06-18,"13-WBLKK-8.9_15"
"08-BARE_T5-0.5",2015-06-19,"08-BARE_T5-0.5_15"
"11-TEET-0.8",2015-06-19,"11-TEET-0.8_15"
"17-MASS-1.2",2015-06-24,"17-MASS-1.2_15"
"17-MBUR-2.1",2015-06-24,"17-MBUR-2.1_15"
"17-BRWN-0.9",2015-06-25,"17-BRWN-0.9_15"
"17-BVDC-0.4",2015-06-25,"17-BVDC-0.4_15"
"17-CARL-0.8",2015-06-25,"17-CARL-0.8_15"
"17-GREN-0.8",2015-06-25,"17-GREN-0.8_15"
"17-MUDL-1.4",2015-06-25,"17-MUDL-1.4_15"
"17-PECN-8.9",2015-06-25,"17-PECN-8.9_15"
"17-SAMP-2.1",2015-06-25,"17-SAMP-2.1_15"
"17-TERR-0.2",2015-06-25,"17-TERR-0.2_15"
"17-CARM-12.9",2015-06-26,"17-CARM-12.9_15"
"17-CARM-9.0",2015-06-26,"17-CARM-9.0_15"
"17-NISS-4.7",2015-06-26,"17-NISS-4.7_15"
"17-NISS_E-2.6",2015-06-26,"17-NISS_E-2.6_15"
"13-SPRO-9.2",2015-06-30,"13-SPRO-9.2_15"
"16-AMEN_T2-1.1",2015-06-30,"16-AMEN_T2-1.1_15"
"16-BOGH-0.3",2015-06-30,"16-BOGH-0.3_15"
"16-WEBA-23.3",2015-06-30,"16-WEBA-23.3_15"
"16-WEBA_T4-1.3",2015-06-30,"16-WEBA_T4-1.3_15"
"06-FABS-5.0",2015-07-03,"06-FABS-5.0_15"
"06-FLYS-0.7",2015-07-03,"06-FLYS-0.7_15"
"06-MADB-0.1",2015-07-03,"06-MADB-0.1_15"
"07-MUDE-4.4",2015-07-03,"07-MUDE-4.4_15"
"07-ONON_W_T7-1.5",2015-07-03,"07-ONON_W_T7-1.5_15"
"01-PLUT_N_T4-1.0",2015-07-07,"01-PLUT_N_T4-1.0_15"
"04-BLAK_T7-3.0",2015-07-07,"04-BLAK_T7-3.0_15"
"07-BUTL-3.5",2015-07-07,"07-BUTL-3.5_15"
"07-HARB-0.5",2015-07-07,"07-HARB-0.5_15"
"07-MUSK-0.5",2015-07-07,"07-MUSK-0.5_15"
"07-POBK_T4-1.5",2015-07-07,"07-POBK_T4-1.5_15"
"07-WBOT-0.3",2015-07-07,"07-WBOT-0.3_15"
"01-STYB_T5-0.3",2015-07-08,"01-STYB_T5-0.3_15"
"03-EMIL_E_T6-0.4",2015-07-08,"03-EMIL_E_T6-0.4_15"
"03-JEDO_T3-0.4",2015-07-08,"03-JEDO_T3-0.4_15"
"04-JCOX-4.6",2015-07-08,"04-JCOX-4.6_15"
"04-SPRG-10.1",2015-07-08,"04-SPRG-10.1_15"
"10-ARNO-0.1",2015-07-14,"10-ARNO-0.1_15"
"10-COLW-0.7",2015-07-14,"10-COLW-0.7_15"
"10-MILC-6.3",2015-07-14,"10-MILC-6.3_15"
"10-NSAR_T7-0.8",2015-07-14,"10-NSAR_T7-0.8_15"
"10-PUTM_T5-0.3",2015-07-14,"10-PUTM_T5-0.3_15"
"10-TWOB-3.6",2015-07-14,"10-TWOB-3.6_15"
"10-URIL-0.4",2015-07-14,"10-URIL-0.4_15"
"09-ALLE-1.9",2015-07-15,"09-ALLE-1.9_15"
"09-BLCH-0.2",2015-07-15,"09-BLCH-0.2_15"
"09-CEDL-0.1",2015-07-15,"09-CEDL-0.1_15"
"09-ENGL-17.6",2015-07-15,"09-ENGL-17.6_15"
"09-FARR-3.1",2015-07-15,"09-FARR-3.1_15"
"09-LSUK-11.3",2015-07-15,"09-LSUK-11.3_15"
"09-SCKE-16.4",2015-07-15,"09-SCKE-16.4_15"
"09-TRAY-2.9",2015-07-15,"09-TRAY-2.9_15"
"03-SAND_T21-4.0",2015-07-16,"03-SAND_T21-4.0_15"
"06-NING-7.7",2015-07-16,"06-NING-7.7_15"
"08-BLAC-2.5",2015-07-16,"08-BLAC-2.5_15"
"03-CHMO-8.6",2015-07-21,"03-CHMO-8.6_15"
"03-FOMI-5.5",2015-07-21,"03-FOMI-5.5_15"
"03-FOMI_S-0.1",2015-07-21,"03-FOMI_S-0.1_15"
"03-GUFF-0.9",2015-07-21,"03-GUFF-0.9_15"
"03-HRTB-2.2",2015-07-21,"03-HRTB-2.2_15"
"03-JOHN-13.7",2015-07-21,"03-JOHN-13.7_15"
"03-MIDL-2.4",2015-07-21,"03-MIDL-2.4_15"
"03-TELV-12.8",2015-07-21,"03-TELV-12.8_15"
"03-BEAG-1.8",2015-07-22,"03-BEAG-1.8_15"
"03-YANT_T1c-0.2",2015-07-22,"03-YANT_T1c-0.2_15"
"04-OATK-46.2",2015-07-29,"04-OATK-46.2_15"
"01-FISN-2.4",2015-08-04,"01-FISN-2.4_15"
"01-GILL-0.3",2015-08-04,"01-GILL-0.3_15"
"01-GOTC-0.2",2015-08-04,"01-GOTC-0.2_15"
"01-MURD-20.0",2015-08-04,"01-MURD-20.0_15"
"01-LSIS-2.4",2015-08-05,"01-LSIS-2.4_15"
"01-PION-0.9",2015-08-05,"01-PION-0.9_15"
"01-TONA-103.5",2015-08-06,"01-TONA-103.5_15"
"13-QKER-1.0",2015-08-12,"13-QKER-1.0_15"
"13-WALK_T25-1.5",2015-08-12,"13-WALK_T25-1.5_15"
"14-HURL-2.8",2015-08-12,"14-HURL-2.8_15"
"14-WLAK-5.8",2015-08-12,"14-WLAK-5.8_15"
"15-RAMA-13.7",2015-08-12,"15-RAMA-13.7_15"
"15-HACK-3.3",2015-08-13,"15-HACK-3.3_15"
"15-MAWA-3.7",2015-08-13,"15-MAWA-3.7_15"
"12-BARK-0.6",2015-08-19,"12-BARK-0.6_15"
"09-LSAL_T1-1.0",2015-09-21,"09-LSAL_T1-1.0_15"
"09-PIKC-8.7",2015-09-21,"09-PIKC-8.7_15"
"09-BRND-2.5",2015-09-22,"09-BRND-2.5_15"
"09-PLMB-12.4",2015-09-22,"09-PLMB-12.4_15"
"09-JEWT-3.1",2015-09-23,"09-JEWT-3.1_15"
"09-WSCK-3.4",2015-09-23,"09-WSCK-3.4_15"
"07-CANA-32.8",2016-07-12,"07-CANA-32.8_16"
"07-JACB-1.9",2016-07-12,"07-JACB-1.9_16"
"07-LITR-0.2",2016-07-12,"07-LITR-0.2_16"
"07-BLDY-0.1",2016-07-13,"07-BLDY-0.1_16"
"07-GEDD-1.4",2016-07-13,"07-GEDD-1.4_16"
"07-HENC_T4-1.2",2016-07-13,"07-HENC_T4-1.2_16"
"07-NINE-0.7",2016-07-13,"07-NINE-0.7_16"
"07-NORB_T10-1.5",2016-07-13,"07-NORB_T10-1.5_16"
"07-SNDR-1.5",2016-07-13,"07-SNDR-1.5_16"
"07-COWA_T10-0.9",2016-07-14,"07-COWA_T10-0.9_16"
"01-VBUR-0.4",2016-07-20,"01-VBUR-0.4_16"
"11-ROWL-0.5",2016-08-04,"11-ROWL-0.5_16"
"11-TOMH-12.2",2016-08-05,"11-TOMH-12.2_16"
"03-BEEK-4.5",2016-08-17,"03-BEEK-4.5_16"
"11-MOSE-12.8",2016-08-19,"11-MOSE-12.8_16"
"02-RAWS-0.8",2016-08-30,"02-RAWS-0.8_16"
"02-BLBA-0.4",2016-08-31,"02-BLBA-0.4_16"
"02-CASS-25.6",2016-08-31,"02-CASS-25.6_16"
"02-CASS-33.3",2016-08-31,"02-CASS-33.3_16"
"13-BLKK-1.1",2017-07-11,"13-BLKK-1.1_17"
"13-NOST-0.3",2017-07-24,"13-NOST-0.3_17"
"13-EBCR-16.3",2017-07-25,"13-EBCR-16.3_17"
"16-SWEL-0.1",2017-07-25,"16-SWEL-0.1_17"
"16-SWMP-6.8",2017-07-25,"16-SWMP-6.8_17"
"13-BASC_T17-2.4",2017-07-26,"13-BASC_T17-2.4_17"
"13-FISH-16.3",2017-07-26,"13-FISH-16.3_17"
"13-BLKH-8.2",2017-07-27,"13-BLKH-8.2_17"
"13-IDNK-0.5",2017-07-27,"13-IDNK-0.5_17"
"13-RHIN-4.3",2017-07-27,"13-RHIN-4.3_17"
"05-STEO-35.7",2017-08-09,"05-STEO-35.7_17"
"05-CBRO-1.8",2017-08-28,"05-CBRO-1.8_17"
"08-BENE-0.2",2017-09-12,"08-BENE-0.2_17"
"08-MURM-3.4",2017-09-13,"08-MURM-3.4_17"
"10-TRAE-4.5",2018-07-17,"10-TRAE-4.5_18"
"10-LSAR_T10-0.3",2018-07-18,"10-LSAR_T10-0.3_18"
"10-BISH-0.6",2018-07-19,"10-BISH-0.6_18"
"10-CMIL-3.3",2018-07-19,"10-CMIL-3.3_18"
"10-LGLN-0.5",2018-07-19,"10-LGLN-0.5_18"
"10-ROUT-1.3",2018-07-19,"10-ROUT-1.3_18"
"13-WALK-35.6",2018-08-27,"13-WALK-35.6_18"
"13-WKLEI-0.6",2018-08-27,"13-WKLEI-0.6_18"
"13-QKER-0.9",2018-08-28,"13-QKER-0.9_18"
"13-RIOG-0.7",2018-08-28,"13-RIOG-0.7_18"
"17-EMED-0.4",2018-09-12,"17-EMED-0.4_18"
"17-MIAN-14.2",2018-09-12,"17-MIAN-14.2_18"
"17-OROW-0.6",2018-09-12,"17-OROW-0.6_18"
"17-PECN-12.4",2018-09-12,"17-PECN-12.4_18"
"17-PENA-1.4",2018-09-12,"17-PENA-1.4_18"
"17-SANT-1.7",2018-09-12,"17-SANT-1.7_18"
"17-SWML-1.4",2018-09-12,"17-SWML-1.4_18"
"04-WCONI-0.6",2019-07-23,"04-WCONI-0.6_19"
"04-BLAK_N_T1-1.1",2019-07-23,"04-BLAK_N_T1-1.1_19"
"04-BLAK_T16-0.8",2019-07-23,"04-BLAK_T16-0.8_19"
"04-JCOX_S-3.7",2019-07-23,"04-JCOX_S-3.7_19"
"04-MCMI_S-5.0",2019-07-23,"04-MCMI_S-5.0_19"
"04-BLCE-5.2",2019-07-24,"04-BLCE-5.2_19"
"04-WDIT-0.1",2019-07-24,"04-WDIT-0.1_19"
"04-WMRSG-0.2",2019-07-25,"04-WMRSG-0.2_19"
"14-TENR-3.7",2019-08-21,"14-TENR-3.7_19"
"09-BIBK-5.4",2019-09-10,"09-BIBK-5.4_19"
"09-LTTL-13.2",2019-09-10,"09-LTTL-13.2_19"
"09-MARA-4.5",2019-09-10,"09-MARA-4.5_19"
"09-FSCR-9.2",2019-09-11,"09-FSCR-9.2_19"
"09-WHIK-0.8",2019-09-11,"09-WHIK-0.8_19"
"09-CHPW-11.0",2019-09-17,"09-CHPW-11.0_19"
"09-OTTS-0.2",2019-09-17,"09-OTTS-0.2_19"
"09-SOAP-0.8",2019-09-18,"09-SOAP-0.8_19"
