SiteID,BASIN,LOCATION,RIVMILE,STATION,COLL_DATE,CREW,ARRIVETIME,SAMP,LANDUSE,DEPTH,WIDTH,CUR_SPD,CANOPY,EMBEDD,ROCK,RUBBLE,GRAVEL,SAND,SILT,CLAY,TEMP,COND,DO,PH,PERCENT_SAT,SALINITY,SECCHI,ALGAE_S,ALGAE_FIL,ALGAE_D,THICKNESS_D,MACRO,EPHEM,PLECOP,TRICH,COLEOP,MEGALOP,ODONATA,CHIR,SIMUL,DECAPOD,GAMMAR,MOLLUSK,OLIGO,OTHERS,FIELD_WQA,HABITAT,ORG_FOR_TOXICS,MICROTOX,LGS_HAB_BNK,LGS_HAB_MAC,LGS_HAB_SNG,LGS_HAB_SUB,BOTTOM_TYPE,DOM_SUBSTRATE,WTRCLR_DRIVER,PHT_ID_UP,PHT_ID_DWN,NOTES,PROJECT,HAB_PRESENT
01-BUFC-37.8,1,BUFC,37.8,,7/19/2016,"LOPE, HEIT,ONION, REIGLE",14:00,Sampled,Residential,0.12,4,90,86,5,0,30,30,10,0,30,19.9,404.3,9.46,8.09,103.6,,0,0,1,50,1,,1,1,1,1,1,0,1,0,1,0,0,0,,Good,Adequate,1,1,,,,,,,,14692051680003.jpg,14692051680004.jpg,Net jab- low flow marginal sam,RIBS_Int,
01-VBUR-0.4,1,VBUR,0.4,,7/20/2016,"Heitzman, Lojps, Reigle, Onion",13:33,Sampled,Residential,0.1,1,,50,50,0,10,35,35,15,5,21.4,827,5.65,7.24,63,,0,1,1,90,3,0,0,0,1,0,0,1,1,0,1,0,1,0,,Poor,Low flow,1,1,2,1,0,2,Hard,Gravel,Turbidity,14692051680023.jpg,14692051680024.jpg,"No pebble count Water very low, stream narrow, few rubble & coarse gravel. No current speed, almost stagnant.",RIBS_Int,
02-RAWS-0.8,2,RAWS,0.8,,8/30/2016,Mosher smith,13:06,Sampled,Forest,0.2,4,0,4,30,0,50,20,10,20,,23.4,304,5.3,7.1,62,0.1,0,1,0,60,2,30,1,0,0,1,1,1,0,0,1,0,1,0,Hemipterans,,Low flow,0,1,2,2,2,2,Hard,Gravel,DOC,14728238780037.jpg,14728238780038.jpg,"Sheen on water, water scorpion, hard bottom",RIBS_Scr,
02-BLBA-0.4,2,BLBA,0.4,,8/31/2016,"Lope, Heitz ",13:52,Sampled,Agriculture,1,5,,18,,,,,,,,21.1,387,4.7,7.4,52,,0,1,0,,,50,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,0,0,2,2,2,2,Hard,Gravel,Turbidity,14731747070009.jpg,14731747070010.jpg,Low gradient ,RIBS_Scr,
02-CASS-25.6,2,CASS,25.6,,8/31/2016,Duffieber ,12:21,Sampled,Agriculture,1,10,5,8.5,,,,,,,,22.3,284,4.5,7.5,55,,0,1,0,,,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Silt,Turbidity,14731790090011.jpg,14731790090012.jpg,Low gradient sample,RIBS_Scr,
02-CASS-33.3,2,CASS,33.3,,8/31/2016,Duffieber ,11:47,Sampled,Agriculture,1,4,0,16,,,,,,,,18.5,401,3.7,7.7,40,,0,1,0,,,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Silt,Turbidity,14731790090013.jpg,14731790090014.jpg,Low gradient site,RIBS_Scr,
02-WANG_W-0.1,2,WANG_W,0.1,,8/31/2016,Duffieber ,14:39,Sampled,Agriculture,0.2,3,85,68,,0,0,20,80,0,0,20.9,478.4,8,8,93,,0,0,0,,,0,1,0,1,1,0,0,1,0,0,0,0,0,Athericidae,Good,Sand,0,1,,,,,,,,14731790090043.jpg,14731790090044.jpg,,RIBS_Scr,
03-BEEK-4.5,3,BEEK,4.5,,8/17/2016,Lojp heitzman mosher onion,10:31,Sampled,Agriculture,0.5,4,0,68,,,,,,,,22.5,615,1.9,7.6,23,0.3,0,1,1,100,2,50,0,0,0,0,0,0,0,0,0,0,0,0,,,Low flow,0,0,2,2,2,2,Soft,Silt,Turbidity,14716173550003.jpg,14716173550004.jpg,"Swampy, may be impounded downstream of road Done for Permits section info",RIBS_Scr,
07-CANA-32.8,7,CANA,32.8,,7/12/2016,"Chong, Duffy",13:36,Sampled,Residential,1,7,30,,,,,,,,,24.07,536,9.08,8.14,108,0.26,0,1,0,10,,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Silt,Susp algae,14685037830005.jpg,14685037830006.jpg,,RIBS_Scr,
07-JACB-1.9,7,JACB,1.9,,7/12/2016,Mosher smith,14:28,Sampled,Agriculture,0.2,3,4,1,75,0,10,10,30,40,10,18,730,8.1,8.1,85,0.4,0,1,0,30,1,10,0,0,1,1,0,1,1,0,0,0,0,0,Hemip,Poor,Other,0,1,2,2,0,2,Soft,Silt,Turbidity,14685084240017.jpg,14685084240018.jpg,Low gradient,RIBS_Scr,
07-LITR-0.2,7,LITR,0.2,,7/12/2016,"LOPE, HEITZ",14:48,Sampled,Forest,0.6,8,20,36,30,,,,,,,21.8,119,8.3,7.6,96,0.05,0,0,1,90,1,30,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,0,1,2,2,2,2,Hard,Silt,Turbidity,14688517040015.jpg,14688517040016.jpg,LGSS,RIBS_Scr,
07-BLDY-0.1,7,BLDY,0.1,,7/13/2016,"Lope,heitz",9:52,Sampled,Residential,0.35,3.5,5,0,10,0,30,10,50,10,,20.2,2592,7.1,7.9,79,1.3,0,1,1,100,3,30,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,2,2,0,2,Hard,Sand,Turbidity,14688517040003.jpg,14688517040004.jpg,Low gradient,RIBS_Scr,
07-GEDD-1.4,7,GEDD,1.4,,7/13/2016,"Chong, Duffy",14:12,Sampled,Commercial,0.3,3,25,75,,,,,,,,18.03,2267,8.18,7.67,87,1.17,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,Good,,0,0,2,2,1,2,Hard,Gravel,,14685037830017.jpg,14685037830018.jpg,,RIBS_Scr,
07-HARB-0.5,7,HARB,0.5,,7/13/2016,"Chong, Duffy",14:39,Sampled,Commercial,1,3,,3,,,,,,,,18.71,2435,10.66,7.9,114.9,1.26,0,0,0,100,3,20,0,0,0,0,0,0,0,0,0,0,0,0,,Poor,,0,1,,2,,2,,,,14685037830021.jpg,14685037830022.jpg,,RIBS_Scr,
07-HENC_T4-1.2,7,HENC_T4,1.2,,7/13/2016,Mosher smith,8:35,Sampled,Agriculture,0.2,0.8,0,0,,0,25,35,20,10,10,16.4,406,4.2,7.5,42,0.2,0,0,0,10,1,0,0,0,0,1,0,0,1,0,1,0,0,0,,Good,Low flow,0,0,2,0,0,2,Hard,Gravel,Turbidity,14685084240015.jpg,14685084240016.jpg,"Low flow, low gradient, agriculture, large farm upstream, knotweed, bugs not bad.",RIBS_Scr,
07-NINE-0.7,7,NINE,0.7,,7/13/2016,Dong,13:50,Sampled,Commercial,0.7,15,10,15,,,,,,,,22.2,2743,10.4,7.9,120,1.42,0,0,1,,,10,0,0,0,0,0,0,0,0,0,0,0,0,,Poor,,0,0,2,1,1,2,Soft,Silt,Turbidity,14685037830025.jpg,14685037830026.jpg,,RIBS_Scr,
07-SNDR-1.5,7,SNDR,1.5,,7/13/2016,"Lope,heitz",11:18,Sampled,Commercial,0.25,1.5,0.5,2,20,0,25,30,30,15,,23,2708,2.6,7.27,30,1.41,0,0,1,100,1,30,0,0,0,0,0,0,0,0,1,0,0,0,,,Adequate,0,0,2,2,0,2,Soft,Silt,Turbidity,14688517040029.jpg,14688517040030.jpg,Crawfish in large number. On a low gradient ditch stream low gradient protocol no wga   70 crawfish counted in sample. Removed some for effective. Preservation. Appeared to be all rusticus.  ,RIBS_Scr,
07-TNOR-1.5,7,TNOR,1.5,,7/13/2016,"Chong, Duffy",8:08,Sampled,Agriculture,0.1,1,,100,,,,,,,,18.29,724,6.91,7.94,73.1,0.35,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,2,1,2,2,Soft,Sand,Turbidity,14685037830039.jpg,14685037830040.jpg,Scud dominated,RIBS_Scr,
07-COWA_T10-0.9,7,COWA_T10,0.9,,7/14/2016,"LOPE, HEITZ",8:55,Sampled,Residential,3,3,10,60,,,,,,,,22,551,4.8,7.69,57,0.27,0,0,0,,,10,0,0,0,0,0,0,0,0,1,0,0,0,,,Low flow,0,1,2,2,2,2,Very soft,Silt,Turbidity,14688517040007.jpg,14688517040008.jpg,"Heavy rains previous night. Oil sheen on water, could be from National Grid working on power lines that fell in storm. Small YOY smallmouth bass",RIBS_Scr,
11-ROWL-0.5,11,ROWL,0.5,,08/04/16,"Chong, Mosher",13:45,Sampled,Residential,0.2,10,,30,,,,,,,,21.3,489.4,8.61,7.84,97.3,0.24,0,0,1,50,1,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Silt,Turbidity,14706806430021.jpg,14706806430022.jpg,"Low gradient, site change because no access",RIBS_Scr,
11-TOMH-12.2,11,TOMH,12.2,,08/05/16,"Smith, Stieber",8:33,Sampled,Agriculture,0.3,5,6,50,,0,5,10,10,75,0,19,245,3,7.1,24,0.12,0,0,1,100,2,20,1,0,1,0,0,0,0,0,0,1,0,0,Hemiptera,Good,Other,0,1,2,2,2,2,Soft,Silt,Turbidity,14706779700023.jpg,14706779700024.jpg,"Low gradient, heavy ag district, beaver dam",RIBS_Scr,
11-MOSE-12.8,11,MOSE,12.8,,08/03/16,"Chong, Mosher",,Not Sampled,Agriculture,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,,,14706806430017.jpg,14706806430018.jpg,"Lots of vegetation to walk through, not wadable, too deep",RIBS_Scr,
13-BASC_T17-2.4,13,BASC_T17,2.4,,7/26/2017,"Smith, Lemley",14:28,Sampled,Residential,0.1,2,21,20,25,30,50,10,10,,,20,175,7.3,7.4,84,,,0,0,100,1,10,0,0,1,1,0,0,1,0,0,0,0,0,Tipulidae,Good,Impoundment,0,0,2,2,2,2,Hard,Gravel,DOC,15012493640001.jpg,15012493640002.jpg,Stream is very small with a significant debris pile up on the upstream side of the bridge causing an impoundment. This site is borderline a low gradient stream but should be run as low gradient.,RIBS_Scr,0
13-BLKH-8.2,13,BLKH,8.2,,7/27/2017,Mosher duffy,8:00,Sampled,Wetland,1.5,15,8,6,,,,,,,,19.8,333,3.6,7.3,39,,,0,1,50,2,70,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,0,2,0,2,Soft,Silt,Turbidity,15012484320001.jpg,15012484320002.jpg,"Bedrock partway in stream. No real banks, only macrophyte beds",RIBS_Scr,0
13-BLKK-1.1,13,BLKK,1.1,,7/11/2017,"Heitzman, Onion",11:45,Sampled,Residential,1,10,20,70,20,10,20,20,20,30,,22.3,459.8,4.18,7.57,48.8,,,1,0,40,1,30,0,0,0,0,0,0,0,0,0,0,0,0,,,Low flow,0,0,0,2,0,2,Hard,Gravel,Turbidity,14998646430001.jpg,14998646430002.jpg,,RIBS_Scr,0
13-EBCR-16.3,13,EBCR,16.3,,7/25/2017,Mosher duffy,15:00,Sampled,Wetland,0.1,25,1,49,,,,,,,,19.5,412.3,5.01,7.19,54.5,,,0,1,100,1,40,1,0,0,1,0,1,1,0,0,1,0,0,,Good,Adequate,0,0,2,2,2,2,Soft,Silt,Turbidity,15012484320007.jpg,15012484320008.jpg,Nice low gradient site,RIBS_Scr,0
13-FISH-16.3,13,FISH,16.3,,7/26/2017,Mosher duffy,14:43,Sampled,Residential,1.5,25,10,90,,,,,,,,20.2,506.2,7.82,8.1,86.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,Very poor,Adequate,0,0,2,0,2,2,Soft,Silt,Turbidity,15012484320011.jpg,15012484320012.jpg,Very little habitat. Slow deep channel ,RIBS_Scr,0
13-IDNK-0.5,13,IDNK,0.5,,7/27/2017,Mosher duffy,9:15,Sampled,Wetland,0.5,15,3,43,,,,,,,,19.3,236,7.3,7.7,80,,,0,1,50,2,20,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,2,2,2,2,Soft,Silt,Turbidity,15012484320021.jpg,15012484320022.jpg,Seems to be either tidal or recently unimpounded. Banks muddy and bare. Old water line still wet. Definitely low gradient but with a riffle upstream by bridge,RIBS_Scr,0
13-NOST-0.3,13,NOST,0.3,,7/24/2017,"Smith, Duffy, Lendrum",10:15,Sampled,Residential,0.3,5,30,1,50,,,,,,,17,443,8.1,7.9,5,,,0,0,100,1,20,0,0,0,0,0,1,1,0,1,1,0,0,,Good,Other,0,0,1,1,1,1,Hard,Gravel,Turbidity,15012493640019.jpg,15012493640020.jpg,Low gradient stream,RIBS_Scr,0
13-RHIN-4.3,13,RHIN,4.3,,7/27/2017,Mosher duffy,10:00,Sampled,Forest,0.3,15,15,58,,,,,,,,18.8,496,8.4,7.8,90,,,0,1,80,2,10,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,2,2,2,2,Hard,Sand,Turbidity,15012484320027.jpg,15012484320028.jpg,Tidally influenced ,RIBS_Scr,0
16-SWEL-0.1,16,SWEL,0.1,,7/25/2017,Mosher duffy,11:00,Sampled,Commercial,0.1,1,5,85,20,,,,,,,14.4,233.6,8.2,7.3,80.4,,,0,1,100,3,20,0,0,0,0,0,1,0,0,0,0,0,0,,,Adequate,0,0,2,1,0,2,Hard,Sand,Turbidity,15012484320039.jpg,15012484320040.jpg,"Low gradient, very periphytous",RIBS_Scr,0
16-SWMP-6.8,16,SWMP,6.8,,7/25/2017,Mosher duffy,12:00,Sampled,Residential,1,25,1,6,,,,,,,,20.2,528.1,1.11,7.15,12.3,,,1,1,100,2,70,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,2,2,1,2,Hard,Sand,Susp algae,15012484320041.jpg,15012484320042.jpg,Suspended algae,RIBS_Scr,0
05-CBRO-1.8,5,CBRO,1.8,,8/28/2017,Mosher heitzman,14:20,Sampled,Residential,0.8,10,10,41,,,,,,,,15.5,706,6.3,7.2,64,0.36,,0,1,0,,60,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,2,2,2,2,Soft,Silt,Turbidity,15040392720003.jpg,15040392720004.jpg,"Nice low gradient site, not gross",RIBS_Scr,0
05-STEO-35.7,5,STEO,35.7,,8/9/2017,"Smith, Duffy",11:56,Sampled,Agriculture,0.5,15,17,6,75,5,10,25,10,50,0,20,635,6.7,7.7,76,,,1,1,100,3,30,1,0,1,1,0,0,1,0,1,0,0,0,,Good,Other,0,0,2,2,2,2,Soft,Silt,Turbidity,15027233130033.jpg,15027233130034.jpg,Low gradient stream,RIBS_Scr,0
08-BENE-0.2,8,BENE,0.2,,9/12/2017,Mosher onion,12:54,Sampled,Wetland,1,10,,13,,,,,,,,11.8,17.6,9.99,6.42,98.1,,,0,0,,,10,0,0,0,0,0,0,0,0,0,0,0,0,,,Adequate,0,0,2,2,2,2,Hard,Sand,DOC,15057415140005.jpg,15057415140006.jpg,"May have once been riffle, now very much low gradient, hard bottomed",RIBS_Scr,0
08-MURM-3.4,8,MURM,3.4,,9/13/2017,"Smith, Duffy",10:17,Sampled,Agriculture,0.3,5,34,13,25,,,,100,,,12,48,10.1,6.5,93,,,0,0,50,1,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Sand,DOC,15057436650021.jpg,15057436650022.jpg,Nice low gradient stream even though it is in the middle of dense agricultural land.,RIBS_Scr,0
