BAS_LOC_RM,site_id,pct_natural+wetland,site_condition
01-BLKE-0.1,01_BLKE_0d1,52.45284772,test
01-FISN-2.4,01_FISN_2d4,65.27986862,test
01-GILL-0.3,01_GILL_0d3,26.96436239,test
01-GOTC-0.2,01_GOTC_0d2,37.71716436,test
01-LSIS-2.0,01_LSIS_2d0,64.99240559,test
01-MURD-20.0,01_MURD_20d0,42.21385025,test
01-PION-0.9,01_PION_0d9,40.9221902,test
01-PLUT_N_T4-1.0,01_PLUT_N_T4_1d0_updated,41.88024984,test
01-STYB_T5-0.3,01_STYB_T5_0d3,48.02300503,test
01-TONA-103.5,01_TONA_103d5,43.85558132,test
03-BEAG-1.8,03_BEAG_1d8,39.26078272,test
03-CHMO-8.6,03_CHMO_8d6,44.57132366,test
03-EMIL_E_T6-0.4,03_EMIL_E_T6_0d4,31.39534884,test
03-FOMI-5.5,03_FOMI_5d5,41.85155305,test
03-FOMI_S-0.1,03_FOMI_S_0d1,51.21486697,test
03-GUFF-1.8,03_GUFF_1d8,39.11541889,test
03-HRTB-2.2,03_HRTB_2d2,27.67107962,test
03-JEDO_T3-0.4,03_JEDO_T3_0d4,17.1957672,test
03-JOHN-13.7,03_JOHN_13d7,36.41820256,test
03-LSAM_N-7.9,03_LSAM_N_7d9,94.47531873,ref
03-MIDL-2.4,03_MIDL_2d4,28.4602688,test
03-SAND_T21-4.0,03_SAND_T21_4d0,94.55201838,ref
03-TELV-12.8,03_TELV_12d8,49.14694551,test
03-YANT_T1c-0.2,03_YANT_T1c_0d2,33.81321983,test
04-BLAK_T7-3.0,04_BLAK_T7_3d0,38.71883235,test
04-JCOX-4.6,04_JCOX_4d6,18.70364648,test
04-OATK-46.2,04_OATK_46d2,42.02580163,test
04-SPRG-10.1,04_SPRG_10d1,16.99450145,test
05-CAMB-11.2,05_CAMB_11d2,53.96825397,test
05-WINI_T2-1.2,05_WINI_T2_1d2,83.5477707,ref
06-FABS-5.0,06_FABS_5d0,35.45232274,test
06-FLYS-0.7,06_FLYS_0d7,42.6509546,test
06-MADB-0.1,06_MADB_0d1,66.79406588,test
06-NING-7.7,06_NING_7d7,88.73177198,ref
07-BUTL-3.5,07_BUTL_3d5,42.64479095,test
07-HARB-0.5,07_HARB_0d5,32.6882092,test
07-MUDE-4.4,07_MUDE_4d4,33.74029022,test
07-MUSK-0.5,07_MUSK_0d5,33.8832875,test
07-ONON_W_T7-1.5,07_ONON_W_T7_1d5,6.401766004,test
07-POBK_T4-1.5,07_POBK_T4_1d5,5.744125326,test
07-WBOT-0.3,07_WBOT_0d3,43.23653085,test
08-BARE_T5-0.5,08_BARE_T5_0d5,92.20360825,ref
08-BLAC-2.5,08_BLAC_2d5,88.91706473,ref
09-ALLE-1.9,09_ALLE_1d9,74.65056963,test
09-BLCH-0.2,09_BLCH_0d2,97.591874,ref
09-BRND-2.5,09_BRND_2d5,72.60283638,test
09-CEDL-0.1,09_CEDL_0d1,89.33936124,ref
09-ENGL-17.6,09_ENGL_17d6,93.77528789,ref
09-FARR-3.1,09_FARR_3d1,74.01710001,test
09-JEWT-3.1,09_JEWT_3d1,60.45337949,test
09-LSAL_T1-1.0,09_LSAL_T1_1d0,39.31750742,test
09-LSUK-11.3,09_LSUK_11d3,83.46491228,ref
09-PIKC-8.7,09_PIKC_8d7,90.63590284,ref
09-PLMB-12.4,09_PLMB_12d4,96.82208672,ref
09-SCKE-16.4,09_SCKE_16d4,49.3309172,test
09-TRAY-2.9,09_TRAY_2d9,78.5259794,ref
09-WSCK-3.4,09_WSCK_3d4,36.93497826,test
10-ARNO-0.1,10_ARNO_0d1,69.40349997,test
10-COLW-0.7,10_COLW_0d7,93.5713469,ref
10-MILC-6.3,10_MILC_6d3,95.93747611,ref
10-NSAR_T7-0.8,10_NSAR_T7_0d8,99.13854989,ref
10-PUTM_T5-0.3,10_PUTM_T5_0d3,95.10179994,ref
10-TWOB-3.6,10_TWOB_3d6,90.48799504,ref
10-URIL-0.4,10_URIL_0d4,78.37894681,ref
11-GORN-6.0,11_GORN_6d0,74.72671622,test
11-SRUN-3.8,11_SRUN_3d8_updated,38.2679845,test
12-ALPL_T11-2.1,12_ALPL_T11_2d1,78.34829443,ref
12-BARK-0.6,12_BARK_0d6,38.585209,test
12-TEET-0.8,12_TEET_0d8,99.29880118,ref
13-QKER-1.0,13_QKER_1d0,40.55137653,test
13-SPRO-9.2,13_SPRO_9d2,63.74755079,test
13-WALK_T25-1.5,13_WALK_T25_1d5,28.73364601,test
13-WBLKK-8.9,13_WBLKK_8d9,68.78121347,test
14-HURL-2.8,14_HURL_2d8,77.65648315,ref
14-WLAK-5.8,14_WLAK_5d8,80.88406752,ref
15-HACK-3.3,15_HACK_3d3,29.11567248,test
15-MAWA-3.7,15_MAWA_3d7,69.33730023,test
15-RAMA-13.7,15_RAMA_13d7,50.0391462,test
16-AMEN_T2-1.1,16_AMEN_T2_1d1,48.46120503,test
16-BOGH-0.3,16_BOGH_0d3,96.37925744,ref
16-WEBA_T4-1.3,16_WEBA_23d3,74.55490435,test
16-WEBA-23.3,16_WEBA_T4_1d3,57.66635524,test
17-BRWN-0.9,17_BRWN_0d9,1.091764706,test
17-BVDC-0.4,17_BVDC_0d4,45.43685886,test
17-CARL-0.8,17_CARL_0d8,11.86967804,test
17-CARM-12.9,17_CARM_12d9,25.66375368,test
17-CARM-9.0,17_CARM_9d0,28.75433842,test
17-GREN-0.8,17_GREN_0d8,1.168605838,test
17-MASS-1.2,17_MASS_1d2,12.88716863,test
17-MBUR-2.1,17_MBUR_2d1,0.26432403,test
17-MUDL-1.4,17_MUDL_1d4,14.5000399,test
17-NISS-4.7,17_NISS_4d7_stretched,12.98851708,test
17-NISS_E-2.6,17_NISS_E_2d6,9.13267593,test
17-PECN-8.9,17_PECN_8d9,58.5471458,test
17-SAMP-2.1,17_SAMP_2d1,13.99147966,test
17-TERR-0.2,17_TERR_0d2,37.36974488,test
